# 0.997425
Q1757191	2	0	It	_prp_	PRP	O	c.	O	O/0.999629	O/0.999629	_COMP_/0.000081	_YES_/0.000291
Q10868555	2	54	.	.	.	O	O	O	O/0.999985	O/0.999985	_COMP_/0.000010	_YES_/0.000005

# 0.865106
Q14189091	2	0	The	the	DT	O	O	O	O/0.999985	O/0.999985	_COMP_/0.000006	_YES_/0.000010
Q14189091	2	1	township	township	NN	O	O	O	O/0.999996	O/0.999996	_COMP_/0.000001	_YES_/0.000003
Q14189091	2	2	is	be	VBZ	O	O	O	O/0.999990	O/0.999990	_COMP_/0.000001	_YES_/0.000009
Q14189091	2	3	divided	divide	VBN	O	O	O	O/0.999980	O/0.999980	_COMP_/0.000004	_YES_/0.000016
Q14189091	2	4	into	into	IN	O	O	O	O/0.999542	O/0.999542	_COMP_/0.000425	_YES_/0.000034
Q14189091	2	5	13	_num_	CD	NUMBER	village	_YES_	_YES_/0.866008	O/0.133890	_COMP_/0.000102	_YES_/0.866008
Q14189091	2	6	villages	village	NNS	O	O	O	O/0.999971	O/0.999971	_COMP_/0.000006	_YES_/0.000024
Q14189091	2	7	in	in	IN	O	O	O	O/0.999945	O/0.999945	_COMP_/0.000045	_YES_/0.000010
Q14189091	2	8	the	the	DT	O	O	O	O/0.999974	O/0.999974	_COMP_/0.000012	_YES_/0.000014
Q14189091	2	9	following	follow	VBG	O	O	O	O/0.999993	O/0.999993	_COMP_/0.000002	_YES_/0.000005
Q14189091	2	10	areas	area	NNS	O	O	O	O/0.999996	O/0.999996	_COMP_/0.000001	_YES_/0.000003
Q14189091	2	11	:	:	:	O	O	O	O/0.999989	O/0.999989	_COMP_/0.000002	_YES_/0.000009
Q14189091	2	13	Miaowan_Village	_propernoun_	NNP	LOCATION	O	O	O/0.999997	O/0.999997	_COMP_/0.000001	_YES_/0.000002
Q14189091	2	14	,	,	,	O	O	O	O/0.999991	O/0.999991	_COMP_/0.000005	_YES_/0.000004
Q14189091	2	16	Zhuqian_Village	_propernoun_	NNP	LOCATION	O	O	O/0.999993	O/0.999993	_COMP_/0.000003	_YES_/0.000004
Q14189091	2	17	,	,	,	O	O	O	O/0.999994	O/0.999994	_COMP_/0.000003	_YES_/0.000003
Q14189091	2	19	Taitian_Village	_propernoun_	NNP	LOCATION	O	O	O/0.999997	O/0.999997	_COMP_/0.000000	_YES_/0.000003
Q14189091	2	20	,	,	,	O	O	O	O/0.999994	O/0.999994	_COMP_/0.000003	_YES_/0.000003
Q14189091	2	22	Quchi_Village	_propernoun_	NNP	LOCATION	O	O	O/0.999997	O/0.999997	_COMP_/0.000000	_YES_/0.000003
Q14189091	2	23	,	,	,	O	O	O	O/0.999994	O/0.999994	_COMP_/0.000003	_YES_/0.000003
Q14189091	2	25	Tiesha_Village	_propernoun_	NNP	LOCATION	O	O	O/0.999997	O/0.999997	_COMP_/0.000000	_YES_/0.000003
Q14189091	2	26	,	,	,	O	O	O	O/0.999994	O/0.999994	_COMP_/0.000003	_YES_/0.000003
Q14189091	2	28	Maji_Village	_propernoun_	NNP	LOCATION	O	O	O/0.999997	O/0.999997	_COMP_/0.000000	_YES_/0.000003
Q14189091	2	29	,	,	,	O	O	O	O/0.999994	O/0.999994	_COMP_/0.000003	_YES_/0.000003
Q14189091	2	31	Xichong_Village	_propernoun_	NNP	LOCATION	O	O	O/0.999997	O/0.999997	_COMP_/0.000000	_YES_/0.000003
Q14189091	2	32	,	,	,	O	O	O	O/0.999994	O/0.999994	_COMP_/0.000003	_YES_/0.000003
Q14189091	2	34	Huatian_Village	_propernoun_	NNP	LOCATION	O	O	O/0.999997	O/0.999997	_COMP_/0.000000	_YES_/0.000003
Q14189091	2	35	,	,	,	O	O	O	O/0.999994	O/0.999994	_COMP_/0.000003	_YES_/0.000003
Q14189091	2	37	Chuanshi_Village	_propernoun_	NNP	LOCATION	O	O	O/0.999997	O/0.999997	_COMP_/0.000000	_YES_/0.000003
Q14189091	2	38	,	,	,	O	O	O	O/0.999994	O/0.999994	_COMP_/0.000003	_YES_/0.000003
Q14189091	2	40	Shishuang_Village	_propernoun_	NNP	LOCATION	O	O	O/0.999997	O/0.999997	_COMP_/0.000000	_YES_/0.000003
Q14189091	2	41	,	,	,	O	O	O	O/0.999994	O/0.999994	_COMP_/0.000003	_YES_/0.000003
Q14189091	2	43	Wenjia_Village	_propernoun_	NNP	LOCATION	O	O	O/0.999997	O/0.999997	_COMP_/0.000000	_YES_/0.000003
Q14189091	2	44	,	,	,	O	O	O	O/0.999994	O/0.999994	_COMP_/0.000003	_YES_/0.000003
Q14189091	2	46	Shanmuqiao_Village	_propernoun_	NNP	LOCATION	O	O	O/0.999997	O/0.999997	_COMP_/0.000000	_YES_/0.000003
Q14189091	2	47	,	,	,	O	O	O	O/0.999993	O/0.999993	_COMP_/0.000003	_YES_/0.000004
Q14189091	2	48	and	and	CC	O	O	O	O/0.999989	O/0.999989	_COMP_/0.000003	_YES_/0.000008
Q14189091	2	50	Lannichong_Village	_propernoun_	NNP	LOCATION	O	O	O/0.999994	O/0.999994	_COMP_/0.000001	_YES_/0.000005
Q14189091	2	51	-LRB-	-lrb-	-LRB-	O	O	O	O/0.999998	O/0.999998	_COMP_/0.000001	_YES_/0.000002
Q14189091	2	52	庙湾村	庙湾村	FW	O	O	O	O/0.999997	O/0.999997	_COMP_/0.000001	_YES_/0.000002
Q14189091	2	53	、	、	FW	O	O	O	O/0.999996	O/0.999996	_COMP_/0.000001	_YES_/0.000002
Q14189091	2	54	诸前村	诸前村	FW	O	O	O	O/0.999993	O/0.999993	_COMP_/0.000002	_YES_/0.000005
Q14189091	2	55	、	、	FW	O	O	O	O/0.999993	O/0.999993	_COMP_/0.000003	_YES_/0.000004
Q14189091	2	56	太田村	太田村	FW	O	O	O	O/0.999994	O/0.999994	_COMP_/0.000002	_YES_/0.000004
Q14189091	2	57	、	、	FW	O	O	O	O/0.999993	O/0.999993	_COMP_/0.000003	_YES_/0.000004
Q14189091	2	58	曲尺村	曲尺村	FW	O	O	O	O/0.999994	O/0.999994	_COMP_/0.000002	_YES_/0.000004
Q14189091	2	59	、	、	FW	O	O	O	O/0.999993	O/0.999993	_COMP_/0.000003	_YES_/0.000004
Q14189091	2	60	铁沙村	铁沙村	FW	O	O	O	O/0.999994	O/0.999994	_COMP_/0.000002	_YES_/0.000004
Q14189091	2	61	、	、	FW	O	O	O	O/0.999993	O/0.999993	_COMP_/0.000003	_YES_/0.000004
Q14189091	2	62	马迹村	马迹村	FW	O	O	O	O/0.999994	O/0.999994	_COMP_/0.000002	_YES_/0.000004
Q14189091	2	63	、	、	FW	O	O	O	O/0.999993	O/0.999993	_COMP_/0.000003	_YES_/0.000004
Q14189091	2	64	西冲村	西冲村	FW	O	O	O	O/0.999994	O/0.999994	_COMP_/0.000002	_YES_/0.000004
Q14189091	2	65	、	、	FW	O	O	O	O/0.999993	O/0.999993	_COMP_/0.000003	_YES_/0.000004
Q14189091	2	66	花田村	花田村	FW	O	O	O	O/0.999994	O/0.999994	_COMP_/0.000002	_YES_/0.000004
Q14189091	2	67	、	、	FW	O	O	O	O/0.999993	O/0.999993	_COMP_/0.000003	_YES_/0.000004
Q14189091	2	68	川石村	川石村	FW	O	O	O	O/0.999994	O/0.999994	_COMP_/0.000002	_YES_/0.000004
Q14189091	2	69	、	、	FW	O	O	O	O/0.999993	O/0.999993	_COMP_/0.000003	_YES_/0.000004
Q14189091	2	70	石双村	石双村	FW	O	O	O	O/0.999994	O/0.999994	_COMP_/0.000002	_YES_/0.000004
Q14189091	2	71	、	、	FW	O	O	O	O/0.999993	O/0.999993	_COMP_/0.000003	_YES_/0.000004
Q14189091	2	72	文家村	文家村	FW	O	O	O	O/0.999994	O/0.999994	_COMP_/0.000002	_YES_/0.000004
Q14189091	2	73	、	、	FW	O	O	O	O/0.999993	O/0.999993	_COMP_/0.000003	_YES_/0.000004
Q14189091	2	74	杉木桥村	杉木桥村	FW	O	O	O	O/0.999994	O/0.999994	_COMP_/0.000002	_YES_/0.000004
Q14189091	2	75	、	、	FW	O	O	O	O/0.999993	O/0.999993	_COMP_/0.000003	_YES_/0.000004
Q14189091	2	76	烂泥冲村	烂泥冲村	NN	O	O	O	O/0.999994	O/0.999994	_COMP_/0.000002	_YES_/0.000004
Q14189091	2	77	-RRB-	-rrb-	-RRB-	O	O	O	O/0.999993	O/0.999993	_COMP_/0.000002	_YES_/0.000004
Q14189091	2	78	.	.	.	O	O	O	O/0.999971	O/0.999971	_COMP_/0.000022	_YES_/0.000007

# 0.999617
Q7487884	2	0	As	as	IN	O	O	O	O/0.999975	O/0.999975	_COMP_/0.000011	_YES_/0.000015
Q7487884	2	1	it	_prp_	PRP	O	case	O	O/0.999892	O/0.999892	_COMP_/0.000017	_YES_/0.000091
Q7487884	2	2	is	be	VBZ	O	O	O	O/0.999989	O/0.999989	_COMP_/0.000002	_YES_/0.000009
Q7487884	2	3	the	the	DT	O	O	O	O/0.999994	O/0.999994	_COMP_/0.000002	_YES_/0.000005
Q7487884	2	4	case	case	NN	O	O	O	O/0.999994	O/0.999994	_COMP_/0.000001	_YES_/0.000004
Q7487884	2	5	with	with	IN	O	O	O	O/0.999992	O/0.999992	_COMP_/0.000001	_YES_/0.000006
Q7487884	2	6	most	most	JJS	O	O	O	O/0.999982	O/0.999982	_COMP_/0.000003	_YES_/0.000015
Q7487884	2	7	Chinese	chinese	JJ	MISC	O	O	O/0.999995	O/0.999995	_COMP_/0.000002	_YES_/0.000003
Q7487884	2	8	county	county	NN	O	O	O	O/0.999988	O/0.999988	_COMP_/0.000006	_YES_/0.000005
Q7487884	2	9	seats	seat	NNS	O	O	O	O/0.999992	O/0.999992	_COMP_/0.000003	_YES_/0.000005
Q7487884	2	10	,	,	,	O	O	O	O/0.999972	O/0.999972	_COMP_/0.000017	_YES_/0.000011
Q7487884	2	11	this	this	DT	O	O	O	O/0.999994	O/0.999994	_COMP_/0.000002	_YES_/0.000004
Q7487884	2	12	is	be	VBZ	O	O	O	O/0.999994	O/0.999994	_COMP_/0.000002	_YES_/0.000004
Q7487884	2	13	the	the	DT	O	O	O	O/0.999996	O/0.999996	_COMP_/0.000001	_YES_/0.000003
Q7487884	2	14	place	place	NN	O	O	O	O/0.999996	O/0.999996	_COMP_/0.000001	_YES_/0.000002
Q7487884	2	15	which	which	WDT	O	O	O	O/0.999992	O/0.999992	_COMP_/0.000001	_YES_/0.000007
Q7487884	2	16	most	most	JJS	O	O	O	O/0.999991	O/0.999991	_COMP_/0.000002	_YES_/0.000006
Q7487884	2	17	maps	map	NNS	O	O	O	O/0.999990	O/0.999990	_COMP_/0.000003	_YES_/0.000006
Q7487884	2	18	simply	simply	RB	O	O	O	O/0.999996	O/0.999996	_COMP_/0.000002	_YES_/0.000002
Q7487884	2	19	label	label	VB	O	O	O	O/0.999992	O/0.999992	_COMP_/0.000003	_YES_/0.000005
Q7487884	2	20	as	as	IN	O	O	O	O/0.999992	O/0.999992	_COMP_/0.000003	_YES_/0.000005
Q7487884	2	21	Nanjing	_propernoun_	NNP	LOCATION	O	O	O/0.999995	O/0.999995	_COMP_/0.000002	_YES_/0.000003
Q7487884	2	22	-LSB-	-lsb-	-LRB-	O	O	O	O/0.999997	O/0.999997	_COMP_/0.000001	_YES_/0.000002
Q7487884	2	23	County	_propernoun_	NNP	O	O	O	O/0.999997	O/0.999997	_COMP_/0.000001	_YES_/0.000002
Q7487884	2	24	-RSB-	-rsb-	-RRB-	O	O	O	O/0.999997	O/0.999997	_COMP_/0.000001	_YES_/0.000002
Q7487884	2	25	-LRB-	-lrb-	-LRB-	O	O	O	O/0.999994	O/0.999994	_COMP_/0.000002	_YES_/0.000004
Q7487884	2	26	南靖	南靖	CD	NUMBER	O	O	O/0.999993	O/0.999993	_COMP_/0.000002	_YES_/0.000005
Q7487884	2	27	-LSB-	-lsb-	-LRB-	O	O	O	O/0.999996	O/0.999996	_COMP_/0.000002	_YES_/0.000002
Q7487884	2	28	县	县	CD	NUMBER	O	O	O/0.999992	O/0.999992	_COMP_/0.000002	_YES_/0.000005
Q7487884	2	29	-RSB-	-rsb-	-RRB-	O	O	O	O/0.999992	O/0.999992	_COMP_/0.000003	_YES_/0.000005
Q7487884	2	30	-RRB-	-rrb-	-RRB-	O	O	O	O/0.999993	O/0.999993	_COMP_/0.000003	_YES_/0.000005
Q7487884	2	31	.	.	.	O	O	O	O/0.999968	O/0.999968	_COMP_/0.000024	_YES_/0.000008

# 0.998578
Q7487884	3	1	Shancheng_Town	_propernoun_	NNP	LOCATION	O	O	O/0.999984	O/0.999984	_COMP_/0.000006	_YES_/0.000010
Q7487884	3	2	is	be	VBZ	O	O	O	O/0.999999	O/0.999999	_COMP_/0.000000	_YES_/0.000001
Q7487884	3	3	the	the	DT	O	O	O	O/0.999991	O/0.999991	_COMP_/0.000001	_YES_/0.000008
Q7487884	3	4	junction	junction	NN	O	O	O	O/0.999996	O/0.999996	_COMP_/0.000001	_YES_/0.000003
Q7487884	3	5	of	of	IN	O	O	O	O/0.999994	O/0.999994	_COMP_/0.000001	_YES_/0.000005
Q7487884	3	6	several	several	JJ	O	O	O	O/0.999987	O/0.999987	_COMP_/0.000002	_YES_/0.000011
Q7487884	3	7	county	county	NN	O	O	O	O/0.999994	O/0.999994	_COMP_/0.000002	_YES_/0.000004
Q7487884	3	8	roads	road	NNS	O	O	O	O/0.999996	O/0.999996	_COMP_/0.000002	_YES_/0.000002
Q7487884	3	9	,	,	,	O	O	O	O/0.999940	O/0.999940	_COMP_/0.000046	_YES_/0.000014
Q7487884	3	10	one	_num_	CD	NUMBER	O	O	O/0.999950	O/0.999950	_COMP_/0.000001	_YES_/0.000049
Q7487884	3	11	of	of	IN	O	O	O	O/0.999997	O/0.999997	_COMP_/0.000001	_YES_/0.000002
Q7487884	3	12	which	which	WDT	O	O	O	O/0.999987	O/0.999987	_COMP_/0.000008	_YES_/0.000005
Q7487884	3	13	,	,	,	O	O	O	O/0.999952	O/0.999952	_COMP_/0.000043	_YES_/0.000005
Q7487884	3	14	recently	recently	RB	DATE	O	O	O/0.999996	O/0.999996	_COMP_/0.000001	_YES_/0.000003
Q7487884	3	15	improved	improve	VBN	O	O	O	O/0.999996	O/0.999996	_COMP_/0.000001	_YES_/0.000003
Q7487884	3	16	county	county	NN	O	O	O	O/0.999991	O/0.999991	_COMP_/0.000002	_YES_/0.000007
Q7487884	3	17	route	route	NN	O	O	O	O/0.999984	O/0.999984	_COMP_/0.000011	_YES_/0.000006
Q7487884	3	18	562	_num_	CD	NUMBER	route	O	O/0.998962	O/0.998962	_COMP_/0.000031	_YES_/0.001007
Q7487884	3	19	-LRB-	-lrb-	-LRB-	O	O	O	O/0.999997	O/0.999997	_COMP_/0.000001	_YES_/0.000002
Q7487884	3	20	X562	x562	NN	O	O	O	O/0.999985	O/0.999985	_COMP_/0.000012	_YES_/0.000003
Q7487884	3	21	-RRB-	-rrb-	-RRB-	O	O	O	O/0.999993	O/0.999993	_COMP_/0.000006	_YES_/0.000001
Q7487884	3	22	connects	connect	VBZ	O	O	O	O/0.999996	O/0.999996	_COMP_/0.000001	_YES_/0.000003
Q7487884	3	23	Shancheng	shancheng	VBG	LOCATION	O	O	O/0.999997	O/0.999997	_COMP_/0.000001	_YES_/0.000002
Q7487884	3	24	with	with	IN	O	O	O	O/0.999992	O/0.999992	_COMP_/0.000003	_YES_/0.000006
Q7487884	3	25	the	the	DT	O	O	O	O/0.999993	O/0.999993	_COMP_/0.000002	_YES_/0.000005
Q7487884	3	29	World_Heritage_Fujian_Tulou	_propernoun_	NNP	MISC	O	O	O/0.999996	O/0.999996	_COMP_/0.000001	_YES_/0.000003
Q7487884	3	30	sites	site	NNS	O	O	O	O/0.999997	O/0.999997	_COMP_/0.000001	_YES_/0.000001
Q7487884	3	31	around	around	IN	O	O	O	O/0.999989	O/0.999989	_COMP_/0.000002	_YES_/0.000009
Q7487884	3	33	Shuyang_Town	_propernoun_	NNP	LOCATION	O	O	O/0.999996	O/0.999996	_COMP_/0.000001	_YES_/0.000003
Q7487884	3	34	in	in	IN	O	O	O	O/0.999998	O/0.999998	_COMP_/0.000001	_YES_/0.000001
Q7487884	3	35	the	the	DT	O	O	O	O/0.999995	O/0.999995	_COMP_/0.000001	_YES_/0.000004
Q7487884	3	36	western	western	JJ	O	O	O	O/0.999992	O/0.999992	_COMP_/0.000002	_YES_/0.000006
Q7487884	3	37	part	part	NN	O	O	O	O/0.999998	O/0.999998	_COMP_/0.000001	_YES_/0.000001
Q7487884	3	38	of	of	IN	O	O	O	O/0.999989	O/0.999989	_COMP_/0.000002	_YES_/0.000009
Q7487884	3	39	the	the	DT	O	O	O	O/0.999996	O/0.999996	_COMP_/0.000001	_YES_/0.000003
Q7487884	3	40	county	county	NN	O	O	O	O/0.999993	O/0.999993	_COMP_/0.000002	_YES_/0.000005
Q7487884	3	41	.	.	.	O	O	O	O/0.999978	O/0.999978	_COMP_/0.000017	_YES_/0.000005

# 0.969515
Q7487884	7	1	Nanjing_Station	_propernoun_	NNP	LOCATION	O	O	O/0.999984	O/0.999984	_COMP_/0.000006	_YES_/0.000010
Q7487884	7	2	is	be	VBZ	O	O	O	O/0.999999	O/0.999999	_COMP_/0.000000	_YES_/0.000001
Q7487884	7	3	located	located	JJ	O	O	O	O/0.999988	O/0.999988	_COMP_/0.000001	_YES_/0.000011
Q7487884	7	4	about	about	IN	O	O	O	O/0.999895	O/0.999895	_COMP_/0.000097	_YES_/0.000008
Q7487884	7	5	15	_num_	CD	NUMBER	km	O	O/0.969861	O/0.969861	_COMP_/0.000082	_YES_/0.030057
Q7487884	7	6	km	km	NN	O	O	O	O/0.999992	O/0.999992	_COMP_/0.000002	_YES_/0.000006
Q7487884	7	7	-LRB-	-lrb-	-LRB-	O	O	O	O/0.999985	O/0.999985	_COMP_/0.000012	_YES_/0.000003
Q7487884	7	8	by	by	IN	O	O	O	O/0.999991	O/0.999991	_COMP_/0.000007	_YES_/0.000002
Q7487884	7	9	road	road	NN	O	O	O	O/0.999996	O/0.999996	_COMP_/0.000002	_YES_/0.000002
Q7487884	7	10	-RRB-	-rrb-	-RRB-	O	O	O	O/0.999993	O/0.999993	_COMP_/0.000002	_YES_/0.000005
Q7487884	7	11	to	to	TO	O	O	O	O/0.999995	O/0.999995	_COMP_/0.000002	_YES_/0.000003
Q7487884	7	12	the	the	DT	O	O	O	O/0.999998	O/0.999998	_COMP_/0.000001	_YES_/0.000001
Q7487884	7	13	northeast	northeast	NN	O	O	O	O/0.999990	O/0.999990	_COMP_/0.000003	_YES_/0.000007
Q7487884	7	14	of	of	IN	O	O	O	O/0.999998	O/0.999998	_COMP_/0.000001	_YES_/0.000001
Q7487884	7	15	Shancheng	_propernoun_	NNP	LOCATION	O	O	O/0.999991	O/0.999991	_COMP_/0.000002	_YES_/0.000008
Q7487884	7	16	's	's	POS	O	O	O	O/0.999998	O/0.999998	_COMP_/0.000001	_YES_/0.000001
Q7487884	7	17	town	town	NN	O	O	O	O/0.999996	O/0.999996	_COMP_/0.000001	_YES_/0.000003
Q7487884	7	18	centre	centre	NN	O	O	O	O/0.999993	O/0.999993	_COMP_/0.000002	_YES_/0.000005
Q7487884	7	19	,	,	,	O	O	O	O/0.999961	O/0.999961	_COMP_/0.000019	_YES_/0.000019
Q7487884	7	20	near	near	IN	O	O	O	O/0.999996	O/0.999996	_COMP_/0.000001	_YES_/0.000003
Q7487884	7	22	Yanta_Village	_propernoun_	NNP	LOCATION	O	O	O/0.999995	O/0.999995	_COMP_/0.000001	_YES_/0.000004
Q7487884	7	23	-LRB-	-lrb-	-LRB-	O	O	O	O/0.999998	O/0.999998	_COMP_/0.000001	_YES_/0.000002
Q7487884	7	24	雁塔村	雁塔村	CD	NUMBER	O	O	O/0.999995	O/0.999995	_COMP_/0.000001	_YES_/0.000003
Q7487884	7	25	-RRB-	-rrb-	-RRB-	O	O	O	O/0.999996	O/0.999996	_COMP_/0.000001	_YES_/0.000002
Q7487884	7	26	;	;	:	O	O	O	O/0.999996	O/0.999996	_COMP_/0.000001	_YES_/0.000003
Q7487884	7	27	administratively	administratively	RB	O	O	O	O/0.999995	O/0.999995	_COMP_/0.000002	_YES_/0.000003
Q7487884	7	28	,	,	,	O	O	O	O/0.999969	O/0.999969	_COMP_/0.000020	_YES_/0.000012
Q7487884	7	29	it	_prp_	PRP	O	part	O	O/0.999912	O/0.999912	_COMP_/0.000016	_YES_/0.000072
Q7487884	7	30	is	be	VBZ	O	O	O	O/0.999993	O/0.999993	_COMP_/0.000001	_YES_/0.000006
Q7487884	7	31	still	still	RB	O	O	O	O/0.999985	O/0.999985	_COMP_/0.000002	_YES_/0.000013
Q7487884	7	32	part	part	NN	O	O	O	O/0.999995	O/0.999995	_COMP_/0.000002	_YES_/0.000004
Q7487884	7	33	of	of	IN	O	O	O	O/0.999990	O/0.999990	_COMP_/0.000002	_YES_/0.000009
Q7487884	7	35	Shancheng_Town	_propernoun_	NNP	LOCATION	O	O	O/0.999996	O/0.999996	_COMP_/0.000001	_YES_/0.000002
Q7487884	7	36	.	.	.	O	O	O	O/0.999982	O/0.999982	_COMP_/0.000013	_YES_/0.000004

# 0.999838
Q2009842	1	0	Zhicheng	_propernoun_	NNP	PERSON	O	O	O/0.999985	O/0.999985	_COMP_/0.000006	_YES_/0.000009
Q2009842	1	1	-LRB-	-lrb-	-LRB-	O	O	O	O/0.999999	O/0.999999	_COMP_/0.000000	_YES_/0.000001
Q2009842	1	2	枝城	枝城	CD	NUMBER	O	O	O/0.999989	O/0.999989	_COMP_/0.000001	_YES_/0.000010
Q2009842	1	3	-RRB-	-rrb-	-RRB-	O	O	O	O/0.999996	O/0.999996	_COMP_/0.000001	_YES_/0.000002
Q2009842	1	4	is	be	VBZ	O	O	O	O/0.999996	O/0.999996	_COMP_/0.000001	_YES_/0.000003
Q2009842	1	5	a	a	DT	O	O	O	O/0.999998	O/0.999998	_COMP_/0.000001	_YES_/0.000001
Q2009842	1	6	town	town	NN	O	O	O	O/0.999998	O/0.999998	_COMP_/0.000001	_YES_/0.000001
Q2009842	1	7	in	in	IN	O	O	O	O/0.999994	O/0.999994	_COMP_/0.000001	_YES_/0.000005
Q2009842	1	8	Yidu	_propernoun_	NNP	LOCATION	O	O	O/0.999975	O/0.999975	_COMP_/0.000004	_YES_/0.000021
Q2009842	1	9	County-level	county-level	JJ	LOCATION	O	O	O/0.999998	O/0.999998	_COMP_/0.000001	_YES_/0.000001
Q2009842	1	10	city	city	NN	LOCATION	O	O	O/0.999998	O/0.999998	_COMP_/0.000001	_YES_/0.000001
Q2009842	1	11	,	,	,	O	O	O	O/0.999975	O/0.999975	_COMP_/0.000013	_YES_/0.000012
Q2009842	1	13	Yichang_Prefecture-level	_propernoun_	NNP	LOCATION	O	O	O/0.999995	O/0.999995	_COMP_/0.000001	_YES_/0.000003
Q2009842	1	14	city	city	NN	LOCATION	O	O	O/0.999995	O/0.999995	_COMP_/0.000001	_YES_/0.000004
Q2009842	1	15	,	,	,	O	O	O	O/0.999984	O/0.999984	_COMP_/0.000006	_YES_/0.000010
Q2009842	1	17	Hubei_Province	_propernoun_	NNP	LOCATION	O	O	O/0.999996	O/0.999996	_COMP_/0.000001	_YES_/0.000003
Q2009842	1	18	,	,	,	O	O	O	O/0.999989	O/0.999989	_COMP_/0.000005	_YES_/0.000007
Q2009842	1	19	China	_propernoun_	NNP	LOCATION	O	O	O/0.999996	O/0.999996	_COMP_/0.000000	_YES_/0.000003
Q2009842	1	20	.	.	.	O	O	O	O/0.999983	O/0.999983	_COMP_/0.000010	_YES_/0.000006

# 0.990369
Q2009842	2	0	It	_prp_	PRP	O	situate	O	O/0.999601	O/0.999601	_COMP_/0.000086	_YES_/0.000313
Q2009842	2	1	is	be	VBZ	O	O	O	O/0.999997	O/0.999997	_COMP_/0.000001	_YES_/0.000002
Q2009842	2	2	situated	situate	VBN	O	O	O	O/0.999966	O/0.999966	_COMP_/0.000003	_YES_/0.000031
Q2009842	2	3	on	on	IN	O	O	O	O/0.999991	O/0.999991	_COMP_/0.000002	_YES_/0.000007
Q2009842	2	4	the	the	DT	O	O	O	O/0.999986	O/0.999986	_COMP_/0.000002	_YES_/0.000013
Q2009842	2	5	right	right	NN	O	O	O	O/0.999994	O/0.999994	_COMP_/0.000002	_YES_/0.000004
Q2009842	2	6	-LRB-	-lrb-	-LRB-	O	O	O	O/0.999996	O/0.999996	_COMP_/0.000001	_YES_/0.000003
Q2009842	2	7	southern	southern	JJ	O	O	O	O/0.999989	O/0.999989	_COMP_/0.000002	_YES_/0.000008
Q2009842	2	8	-RRB-	-rrb-	-RRB-	O	O	O	O/0.999997	O/0.999997	_COMP_/0.000002	_YES_/0.000002
Q2009842	2	9	shore	shore	NN	O	O	O	O/0.999996	O/0.999996	_COMP_/0.000001	_YES_/0.000003
Q2009842	2	10	of	of	IN	O	O	O	O/0.999998	O/0.999998	_COMP_/0.000001	_YES_/0.000001
Q2009842	2	11	the	the	DT	O	O	O	O/0.999995	O/0.999995	_COMP_/0.000002	_YES_/0.000004
Q2009842	2	13	Yangtze_River	_propernoun_	NNP	LOCATION	O	O	O/0.999995	O/0.999995	_COMP_/0.000001	_YES_/0.000004
Q2009842	2	14	,	,	,	O	O	O	O/0.999997	O/0.999997	_COMP_/0.000002	_YES_/0.000001
Q2009842	2	15	some	some	DT	O	O	O	O/0.999964	O/0.999964	_COMP_/0.000025	_YES_/0.000011
Q2009842	2	16	15	_num_	CD	NUMBER	southeast	O	O/0.990947	O/0.990947	_COMP_/0.000049	_YES_/0.009004
Q2009842	2	17	km	km	NN	O	O	O	O/0.999994	O/0.999994	_COMP_/0.000001	_YES_/0.000005
Q2009842	2	18	southeast	southeast	NN	O	O	O	O/0.999981	O/0.999981	_COMP_/0.000015	_YES_/0.000004
Q2009842	2	19	from	from	IN	O	O	O	O/0.999987	O/0.999987	_COMP_/0.000009	_YES_/0.000003
Q2009842	2	20	downtown	downtown	NN	O	O	O	O/0.999986	O/0.999986	_COMP_/0.000004	_YES_/0.000010
Q2009842	2	21	Yidu	_propernoun_	NNP	O	O	O	O/0.999993	O/0.999993	_COMP_/0.000002	_YES_/0.000005
Q2009842	2	22	.	.	.	O	O	O	O/0.999984	O/0.999984	_COMP_/0.000013	_YES_/0.000003

# 0.999785
Q2009842	3	0	As	as	IN	O	O	O	O/0.999977	O/0.999977	_COMP_/0.000009	_YES_/0.000014
Q2009842	3	1	of	of	IN	O	O	O	O/0.999997	O/0.999997	_COMP_/0.000001	_YES_/0.000002
Q2009842	3	2	2005	2005	CD	DATE	O	O	O/0.999984	O/0.999984	_COMP_/0.000002	_YES_/0.000014
Q2009842	3	3	,	,	,	O	O	O	O/0.999984	O/0.999984	_COMP_/0.000011	_YES_/0.000006
Q2009842	3	4	it	_prp_	PRP	O	have	O	O/0.999945	O/0.999945	_COMP_/0.000010	_YES_/0.000046
Q2009842	3	5	had	have	VBD	O	O	O	O/0.999997	O/0.999997	_COMP_/0.000001	_YES_/0.000002
Q2009842	3	6	a	a	DT	O	O	O	O/0.999984	O/0.999984	_COMP_/0.000002	_YES_/0.000014
Q2009842	3	7	population	population	NN	O	O	O	O/0.999989	O/0.999989	_COMP_/0.000003	_YES_/0.000008
Q2009842	3	8	of	of	IN	O	O	O	O/0.999994	O/0.999994	_COMP_/0.000001	_YES_/0.000005
Q2009842	3	9	159,000	_num_	CD	NUMBER	O	O	O/0.999951	O/0.999951	_COMP_/0.000001	_YES_/0.000048
Q2009842	3	10	.	.	.	O	O	O	O/0.999982	O/0.999982	_COMP_/0.000014	_YES_/0.000004

# 0.979681
